Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Business Analytics,2,Female,22,B.Sc,7.9,19,76,0.8,47,8.0,60.5,72.8,At Risk
Information Technology,6,Male,18,B.Sc,7.7,42,74,2.2,54,5.9,72.5,71.5,On Track
Computer Science,8,Non-binary,23,B.Sc,9.0,51,60,3.0,63,4.1,78.6,54.7,On Track
Information Technology,4,Non-binary,22,BCA,6.7,30,95,1.0,51,6.1,60.5,84.8,At Risk
Information Technology,1,Male,21,B.Sc,9.1,24,53,5.4,79,5.2,87.4,45.3,On Track
Civil,6,Female,24,MBA,7.7,43,88,4.4,79,9.5,85.7,78.5,On Track
Electronics,6,Non-binary,18,BCA,7.3,33,49,2.7,51,4.4,57.2,45.0,At Risk
Electronics,2,Non-binary,21,B.Tech,5.9,32,63,1.3,71,8.6,73.3,60.0,At Risk
Business Analytics,8,Male,22,B.Tech,7.6,51,88,5.0,83,4.6,95.1,81.5,On Track
Civil,4,Non-binary,22,B.Tech,9.3,33,66,3.2,86,7.9,93.6,57.9,On Track
Civil,4,Male,22,MBA,5.4,35,65,2.3,72,9.3,79.2,61.0,On Track
Information Technology,8,Non-binary,17,MCA,5.1,51,68,5.9,67,10.0,75.6,65.5,On Track
Civil,5,Male,25,B.Tech,7.7,44,86,6.1,55,5.3,77.1,76.4,On Track
Business Analytics,2,Non-binary,18,B.Tech,8.9,26,90,6.2,56,7.7,89.3,79.6,On Track
Computer Science,2,Non-binary,20,B.Tech,6.3,16,50,1.5,79,9.9,66.2,48.8,On Track
Information Technology,6,Male,19,MCA,8.9,45,56,5.9,64,5.9,80.5,46.2,On Track
Computer Science,6,Non-binary,21,MCA,7.0,34,76,2.6,58,5.2,73.6,73.0,On Track
Civil,7,Female,17,B.Sc,5.7,37,60,1.1,65,8.9,70.3,53.9,On Track
Business Analytics,4,Non-binary,18,MBA,5.5,31,72,5.6,64,9.9,68.6,69.8,On Track
Business Analytics,1,Female,23,MBA,8.0,17,70,1.7,53,5.6,61.9,65.0,On Track
Civil,1,Male,25,MCA,9.3,14,87,5.4,89,6.5,98.0,75.9,On Track
Electronics,8,Non-binary,23,BCA,5.7,48,79,0.9,85,7.4,85.7,75.1,On Track
Information Technology,3,Male,20,B.Sc,8.2,33,73,0.5,75,6.1,81.7,69.1,On Track
Business Analytics,1,Non-binary,19,B.Sc,6.4,13,82,0.6,61,8.5,66.9,78.5,On Track
Computer Science,8,Non-binary,20,BCA,7.1,54,48,3.4,52,5.0,61.3,45.0,On Track
Civil,3,Non-binary,25,MBA,8.2,35,87,4.0,41,4.4,72.2,82.8,At Risk
Civil,5,Male,20,MCA,8.7,30,96,6.3,92,5.0,98.0,85.8,On Track
Business Analytics,5,Female,18,B.Tech,8.7,40,63,3.2,62,6.0,74.9,51.7,On Track
Information Technology,1,Male,25,MCA,5.6,24,95,5.3,80,4.5,84.0,86.9,On Track
Computer Science,8,Female,21,MBA,7.1,56,90,5.0,53,5.6,79.5,75.9,On Track
Mechanical,1,Female,23,B.Tech,6.5,26,79,3.3,38,8.8,63.5,72.2,On Track
Business Analytics,4,Non-binary,21,BCA,9.3,32,60,3.1,68,6.6,81.2,54.2,On Track
Electronics,2,Male,24,BCA,9.4,25,73,1.6,74,9.3,78.6,68.8,On Track
Computer Science,4,Non-binary,24,B.Sc,9.2,35,67,5.7,92,9.0,98.0,58.1,On Track
Business Analytics,7,Male,18,BCA,7.1,41,75,3.9,53,8.7,68.1,65.6,On Track
Mechanical,5,Female,19,B.Sc,6.7,31,81,4.8,54,9.3,74.5,68.0,On Track
Computer Science,8,Male,21,B.Tech,8.8,47,91,3.2,76,6.2,85.6,77.4,On Track
Civil,4,Non-binary,20,MCA,9.6,40,50,2.2,52,8.4,77.4,45.0,On Track
Information Technology,6,Female,18,B.Sc,6.5,47,53,1.7,51,3.7,66.6,46.3,At Risk
Business Analytics,2,Non-binary,17,BCA,5.1,28,48,5.4,70,8.2,73.1,45.0,On Track
Electronics,2,Female,25,MBA,5.6,28,76,4.6,51,7.3,62.9,70.3,On Track
Business Analytics,6,Male,20,B.Sc,7.2,42,88,4.2,46,10.0,67.1,83.3,On Track
Computer Science,1,Non-binary,25,MCA,8.1,18,48,2.4,81,6.9,82.3,45.0,On Track
Business Analytics,7,Non-binary,25,BCA,7.5,47,80,6.4,72,5.7,94.3,67.9,On Track
Information Technology,8,Male,18,BCA,9.3,56,52,5.2,78,8.6,86.5,45.7,On Track
Civil,4,Male,24,B.Tech,8.5,39,64,6.3,41,6.1,75.0,54.1,On Track
Electronics,1,Female,24,B.Tech,5.4,13,64,1.7,56,9.0,57.8,61.7,At Risk
Computer Science,5,Non-binary,18,B.Sc,8.1,40,78,2.4,96,7.0,98.0,66.8,On Track
Business Analytics,7,Male,17,MBA,5.0,40,78,5.4,68,8.7,71.8,69.3,On Track
Information Technology,5,Male,19,B.Sc,5.6,44,63,0.5,68,6.8,68.3,61.3,At Risk
Civil,4,Non-binary,24,B.Tech,6.0,33,59,2.2,85,6.1,81.2,48.3,At Risk
Business Analytics,7,Male,22,B.Sc,5.7,48,95,0.6,67,6.4,66.5,85.8,At Risk
Information Technology,6,Non-binary,17,B.Sc,6.9,47,95,3.2,70,8.6,86.8,90.3,On Track
Information Technology,4,Female,21,MCA,8.1,28,67,3.3,65,9.6,73.1,59.8,On Track
Information Technology,8,Male,25,B.Sc,9.4,42,53,3.2,78,8.0,85.4,46.1,On Track
Information Technology,1,Female,24,BCA,6.1,19,82,4.6,57,7.8,67.1,71.6,On Track
Civil,7,Non-binary,19,MCA,5.5,46,49,1.7,64,9.9,63.5,45.0,On Track
Electronics,4,Female,20,BCA,6.9,37,95,0.6,82,3.5,85.9,91.0,At Risk
Information Technology,4,Non-binary,23,MCA,5.7,30,66,5.1,90,6.6,92.4,53.5,On Track
Business Analytics,5,Male,19,MCA,6.6,29,88,0.6,48,3.5,64.0,77.0,At Risk
Mechanical,5,Non-binary,22,B.Sc,9.6,39,80,2.3,49,4.4,76.5,66.1,On Track
Computer Science,8,Non-binary,17,B.Tech,5.5,51,98,3.6,91,3.7,93.1,83.6,On Track
Business Analytics,6,Female,18,BCA,5.1,42,59,6.2,91,9.6,92.5,51.8,On Track
Business Analytics,3,Non-binary,25,B.Sc,4.9,35,93,6.4,91,6.1,93.3,80.7,On Track
Computer Science,5,Non-binary,19,B.Sc,6.2,43,53,4.8,45,5.7,66.1,45.0,At Risk
Computer Science,5,Male,21,BCA,4.9,40,97,4.7,44,7.0,65.4,92.4,On Track
Civil,2,Male,24,MBA,8.2,20,72,4.5,61,6.2,76.1,67.5,On Track
Business Analytics,7,Male,24,BCA,6.1,45,79,2.4,40,5.2,62.2,65.8,At Risk
Information Technology,5,Male,19,B.Tech,8.1,40,52,4.4,46,4.0,73.7,48.4,On Track
Information Technology,6,Non-binary,22,MBA,7.5,46,80,5.4,75,9.9,84.9,72.3,On Track
Civil,1,Female,20,MBA,6.5,18,69,3.7,55,9.6,75.0,64.6,On Track
Computer Science,4,Female,24,MBA,6.3,29,63,3.7,77,6.4,76.9,50.7,On Track
Information Technology,3,Female,19,MCA,4.8,22,70,3.6,60,5.8,65.4,64.7,At Risk
Business Analytics,3,Male,19,B.Sc,6.5,36,64,3.5,86,8.2,84.8,55.4,On Track
Business Analytics,5,Non-binary,24,MCA,8.5,33,96,2.9,94,6.6,98.0,83.6,On Track
Electronics,8,Non-binary,17,B.Sc,7.1,42,80,5.2,58,6.1,84.6,73.0,On Track
